"rid","us_Tave07_climate"
701304541,14.5356156402728
701304744,14.4446574259205
701304812,14.4839937321365
701304986,14.4713489452896
701305163,14.4713489452896
701305244,14.4713489452896
701305463,14.3713303373883
701306086,14.6811166315094
701306205,14.6811166315094
701306237,14.6923187442633
701306280,14.7284910089536
701306314,14.4695090179874
701306342,14.4698686172058
701306365,14.4692724313719
701306455,14.4698557578592
701306533,14.4699079604823
701306603,14.470879658922
701306721,14.47728018233
701306784,14.4808491168779
701306885,14.4815799764625
701306970,14.4826231517093
701307032,14.483884276889
701307209,14.4857347280117
701307455,14.4933290795923
701307771,14.4938801565594
701308174,14.5023556806065
701308428,14.5070252668327
701308495,14.5073952708155
701308656,14.5114239536473
701308803,14.5168872147992
701309184,14.5200811672911
701309209,14.5282584759446
701309241,14.5282584759446
701309401,14.5282584759446
701309548,14.5282584759446
701309587,14.5305886403021
701309588,14.5324465410212
701309692,14.54167102694
701309713,14.54167102694
701309807,14.54167102694
701309847,14.54167102694
701309919,14.5429568917888
701309941,14.5578223120675
701310053,14.5609347592089
701310073,14.560960062566
701310247,14.5626666593637
701310346,14.5734333336298
701310419,14.5740681025077
701310501,14.5769654210966
701310509,14.5799739846278
701310529,14.5868846272914
701310618,14.5873386566271
701310838,14.5876860374091
701310956,14.5968092817773
701311061,14.597553906637
701311071,14.5991934008197
701311285,14.6093813086487
701746017,15.2090815307228
701746606,15.2076624125337
701746689,15.206871256195
701746883,15.2055915603302
701746925,15.205238271955
701747059,15.20328793599
701747264,15.2015288302518
701747272,15.2032488138627
701747515,15.2012248695105
701747632,15.2010246319222
701747850,15.2003855310721
701747977,15.2001282765288
701748001,15.1968617259819
701748065,15.1964136639383
701748263,15.1961976497354
701748457,15.1959698980737
701748617,15.1955900638284
701748772,15.1950602861015
701748855,15.1949250036769
701749372,15.1930310804293
701749374,15.1924315188004
701749377,15.1916128382677
701749886,15.1909465847046
701750020,15.1902385529348
701750405,15.1883800764765
701750615,15.1879841002989
701750719,15.1878215532655
701750743,15.1865822906646
701750803,15.1862299863642
701751418,15.1861604674327
701751480,15.1855155620426
701751587,15.1845222448139
701751687,15.1838590602201
701751738,15.1836992343072
701751806,15.182915380276
701752421,15.1826292176743
701752705,15.1824506972418
701752743,15.1823031433967
701752834,15.1821920436557
701752970,15.182190934855
701753341,15.1817308728887
701753529,15.1762467296254
701753543,15.1761277668622
701753590,15.1758821774156
701753595,15.1766315043495
701753597,15.1758123970086
701753625,15.1763171305079
701753763,15.1720660023445
701753834,15.1716496361114
701753946,15.1714512701251
701754023,15.1710794631947
701754206,15.1691894980328
701754372,15.1658311348488
701754514,15.1656862959421
701754546,15.1631811164642
701754547,15.1631802673388
701754882,15.1630858050836
701754988,15.1630121290006
701755180,15.1626316583848
701755304,15.162470549859
701755608,15.1620806150598
701755736,15.1608684412151
701755815,15.1606756821267
701755920,15.160384706901
701756015,15.1600503075838
701756037,15.1600378397096
701756101,15.1596931437569
701756116,15.159746962573
701756195,15.1591057371575
701756571,15.158649627701
701756795,15.1577081577753
701756829,15.157389989526
701756992,15.1572011722313
701757335,15.1570831596663
701757381,15.1567813139638
701757388,15.1563466062327
701757607,15.1560737014044
701757659,15.155706691977
701757784,15.1555560903233
701757979,15.1511833224426
701758143,15.150772802889
701758481,15.1506685735261
701758931,15.1505402252523
701759064,15.1505352434807
701759082,15.1505352434807
701759248,15.1499022076366
701759307,15.1496357789004
701759353,15.1488790254818
701759548,15.1486076043301
701759870,15.1476525182444
701760069,15.1426471786996
701760082,15.1415638583034
701760389,15.1407491304251
701760449,15.1391139744405
701760512,15.1404324605269
701760520,15.1384917022287
701760542,15.1392341459972
701760578,15.1400608992065
701760742,15.1392816404318
701760747,15.139420320276
701760778,15.1383287499503
701760807,15.139470057416
701760818,15.1397616601945
701760819,15.1399016025601
701761103,15.137997670762
701761298,15.1531257573427
701761377,15.1530129525532
701761393,15.1377049636059
701761499,15.1533079629275
701761555,15.1525806174247
