"rid","us_road_density"
701288865,10.2710150385205
701288867,0.564806512815751
701288875,0
701288879,8.17563517662284
701288881,1.96769040545436
701288895,2.7446102514623
701288897,0.16578452261681
701288919,0
701288921,0
701288933,2.34855403512345
701288935,0
701288944,0
701288946,0
701288956,1.09123914348575
701288958,0.363706144163047
701288963,0
701288965,0
701288971,1.79988729508649
701288973,5.08877541447336
701288975,0
701288977,0.54599704885646
701288983,0
701288985,0
701288992,44.1102908098792
701288994,1.41684789594432
701288996,2.45095282369092
701288998,1.6379626479654
701289005,0.5153346008556
701289007,0
701289018,11.4190762659017
701289020,0
701289021,44.1102908098792
701289028,2.95072756172572
701289031,1.25569434417643
701289036,0.283845533335344
701289038,1.9601542653055
701289045,0
701289047,0
701289052,1.25569434417643
701289054,0.441818999164803
701289065,44.1102908098792
701289069,1.68165672973732
701289073,1.358781125831
701289075,1.84404107688776
701289083,1.15285926916287
701289085,44.1102908098792
701289088,0
701289089,0.715767326483055
701289094,1.358781125831
701289096,0.337799828920138
701289100,0
701289103,0.441818999164803
701289105,1.68165672973732
701289106,2.77933498667008
701289107,0.715767326483055
701289109,0
701289111,0
701289118,1.23242367223334
701289120,0
701289130,2.77933498667008
701289136,6.24541454059782
701289139,1.55292713244503
701289141,0
701289143,0.605000959315075
701289151,2.728388541196
701289154,0
701289157,0.336834492212595
701289159,13.8842953938175
701289160,6.24541454059782
701289164,2.95072756172572
701289165,2.728388541196
701289175,0
701289176,0
701289178,6.24541454059782
701289181,0
701289190,0
701289191,2.728388541196
701289193,0
701289196,0.332714947069087
701289200,0.332714947069087
701289217,1.55292713244503
701289219,2.728388541196
701289224,0
701289226,0.332714947069087
701289232,1.55292713244503
701289246,1.08381633056141
701289249,0.332714947069087
701289250,6.24541454059782
701289262,0.820873646539874
701289263,4.27432178931809
701289266,0.332714947069087
701289271,1.42376940013963
701289272,0.332714947069087
701289277,1.54874149967118
701289283,1.55292713244503
701289285,1.55292713244503
701289288,1.83925819452162
701289290,0.994218246737331
701289293,1.17526082476227
701289295,1.17526082476227
701289298,1.08381633056141
701289306,2.35559181301776
701289312,2.54779005589598
701289317,1.81835785518842
701289319,1.69536426409079
701289320,0.820873646539874
701289324,0.121384901658081
701289326,1.17526082476227
701289335,2.29664771111285
701289337,1.69107245578716
701289340,2.35559181301776
701289342,1.49861065501935
701289343,0.339424286874018
701289344,3.21490098907654
701289348,0.820873646539874
701289351,3.21490098907654
701289355,0.212482564332983
701289363,1.49861065501935
701289375,1.49861065501935
701289381,0.820873646539874
701289383,0.438359958597522
701289387,1.08381633056141
701289390,0.820873646539874
701289392,1.49861065501935
701289399,1.08381633056141
701289402,3.21490098907654
701289404,2.35559181301776
701289406,3.59603414788654
701289408,1.68891456451233
701289415,0.419745724784147
701289416,1.46988348237876
701289418,1.32202841586348
701289424,1.32202841586348
701289426,0
701289427,0.212482564332983
701289430,0
701289432,0.512803901512511
701289433,16.0555078779099
701289435,0.724202964864976
701289440,4.55493259217094
701289446,0.212482564332983
701289448,1.32202841586348
701289455,1.22788826300623
701289459,0
701289461,1.22788826300623
701289469,4.21890256088952
701289476,3.06095940293722
701289480,0
701289488,2.1135456548068
701289490,2.19266239412531
701289491,0
701289496,2.19266239412531
701289500,2.19266239412531
701289501,0.132769860225538
701289509,2.37068982315253
701289511,3.27517184704898
701289513,6.63264532823463
701289515,0
701289520,1.59431357314401
701289522,2.33141765522237
701289525,4.55493259217094
701289529,2.19266239412531
701289533,3.60523843874991
701289541,4.55493259217094
701289542,2.19072981147142
701289543,2.19266239412531
701289545,2.26998313357065
701289552,2.19266239412531
701289553,3.30865596082022
701289563,1.87326218034627
701289567,0
701289569,0
701289571,2.27362274758396
701289575,2.15855681106451
701289577,2.27362274758396
701289585,1.93795820300621
701289591,1.94509314180359
701289596,1.94509314180359
701289607,0.467216722607096
701289611,4.21890256088952
701289616,4.21890256088952
701289621,0.467216722607096
701289623,2.17122278957444
701289624,1.83766140107877
701289625,0.948532839435004
701289629,2.17308106980989
701289635,2.17308106980989
701289641,2.20074333581335
701289647,2.17308106980989
701289652,2.20074333581335
701289657,0.0569250106088295
701289659,0
701289664,1.37730842052545
701289666,0
701289672,0
701289675,1.84957186070539
701289680,1.84957186070539
701289685,1.84957186070539
701289687,0
701289688,1.37730842052545
701289691,0.890672010584684
701289692,1.40696577559267
701289693,0
701289700,1.82865969960206
701289702,0
701289707,3.18231277543289
701289711,0.509996390528211
701289712,3.42365430432447
701289717,0.65622854578948
701289719,0
701289720,0
701289726,1.9329088608585
701289728,3.18231277543289
701289730,0.746784161653466
701289731,0
701289741,0
701289743,1.37730842052545
